"","Time","sample","value","strain","replicate","media","background"
"5458",1140,"F10",0.55939513,"wild-type (supplemented)","1","Met (+)","wt"
"5459",1140,"F11",0.63539513,"wild-type (supplemented)","2","Met (+)","wt"
"5460",1140,"F12",0.50239513,"wild-type (supplemented)","3","Met (+)","wt"
"5461",1140,"G1",0.35239513,"overproducer ∆metJ","1","Met (-)","mutant"
"5462",1140,"G2",0.53139513,"overproducer ∆metJ","2","Met (-)","mutant"
"5463",1140,"G3",0.66239513,"overproducer ∆metJ","3","Met (-)","mutant"
"5464",1140,"G4",0.48239513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5465",1140,"G5",0.43239513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5466",1140,"G6",0.46539513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5467",1140,"G7",0.96739513,"auxotroph ∆metB","1","Met (+)","mutant"
"5468",1140,"G8",0.53939513,"auxotroph ∆metB","2","Met (+)","mutant"
"5469",1140,"G9",0.95239513,"auxotroph ∆metB","3","Met (+)","mutant"
"5470",1140,"G10",0.52439513,"wild-type (supplemented)","1","Met (+)","wt"
"5471",1140,"G11",0.62639513,"wild-type (supplemented)","2","Met (+)","wt"
"5472",1140,"G12",0.50439513,"wild-type (supplemented)","3","Met (+)","wt"
"5473",1155,"B1",0.31539513,"overproducer ∆metJ","1","Met (-)","mutant"
"5474",1155,"B2",0.63039513,"overproducer ∆metJ","2","Met (-)","mutant"
"5475",1155,"B3",0.57439513,"overproducer ∆metJ","3","Met (-)","mutant"
"5476",1155,"B4",0.56439513,"wild-type (unsupplemented)","1","Met (-)","wt"
